method,ari,nmi,purity,n_samples
PCA_KMeans_Baseline,0.11634382297033607,0.19216433615800896,0.457358320388836,39914
VAE_kmeans,0.0932595149879939,0.152216151192144,0.42872175176629757,39914
VAE_agglomerative,0.09364629947946165,0.15487072992887232,0.44012126071052765,39914
VAE_dbscan,3.911338930163769e-05,0.0002925031551840593,0.29943790149892935,37360
VAE_hdbscan,0.01312823645230273,0.056557710899768396,0.3704635285662954,22264
VAE_kmeans_english_only,0.03809067133755562,0.08400001397524667,0.47429615110477547,22448
VAE_agglomerative_english_only,0.060108555628342594,0.09906155434595931,0.47661261582323594,22448
VAE_dbscan_english_only,0.0,0.0,0.4233134341756811,22279
VAE_hdbscan_english_only,0.03234861717808991,0.08724978715333698,0.47011215906194237,15692
