epoch,total_loss,recon_loss,kl_loss,beta,lr
35,1.0000451939880468,1.0000407961523456,4.399231827638414e-06,1.0,0.00025
36,1.0003588378049766,1.0003549513543488,3.88252214364749e-06,1.0,0.000125
37,1.000054071283644,1.0000508833842672,3.1861174161320515e-06,1.0,0.000125
38,1.0002087563466115,1.000205920380392,2.8326088980813127e-06,1.0,0.000125
39,1.000121751408668,1.000119116275933,2.634475836463593e-06,1.0,0.000125
40,1.00027053599145,1.000267905414484,2.6289975038169037e-06,1.0,0.000125
41,1.000349591492088,1.0003473815644623,2.207673955775477e-06,1.0,0.000125
42,0.9999941826625994,0.9999920900460262,2.0951455246559254e-06,1.0,0.000125
43,0.999941892684645,0.9999399245924251,1.968416115817774e-06,1.0,0.000125
44,1.0000161744986371,1.0000144376116953,1.7367486058212343e-06,1.0,0.000125
45,1.00011707073564,1.0001155217741704,1.5485168712370832e-06,1.0,0.000125
46,1.0002117908684311,1.0002102278600074,1.5622180323769e-06,1.0,0.000125
47,1.0001387934016575,1.0001373602326509,1.4310887083040468e-06,1.0,6.25e-05
48,1.0001745793470151,1.000173351187615,1.2263230783686896e-06,1.0,6.25e-05
49,1.00033836379932,1.0003372282738898,1.1373674522960785e-06,1.0,6.25e-05
50,1.000158885102363,1.000157853600326,1.0322909689119833e-06,1.0,6.25e-05
51,1.0002081853568934,1.0002071921992455,9.91441518369362e-07,1.0,6.25e-05
52,1.0001631572747687,1.0001622100544583,9.460301582618457e-07,1.0,6.25e-05
53,0.9999951906264968,0.9999943094648374,8.798849373717739e-07,1.0,6.25e-05
54,1.0000712643763063,1.0000703763809933,8.860706599358066e-07,1.0,6.25e-05
55,1.0000450022661003,1.0000441814683805,8.231558020235555e-07,1.0,6.25e-05
56,1.0001411904954607,1.00014038602258,8.048425642862489e-07,1.0,6.25e-05
57,0.9999376170954127,0.9999368931077848,7.205327298376519e-07,1.0,6.25e-05
58,1.0002555490299394,1.0002548246626641,7.263388281545727e-07,1.0,3.125e-05
59,1.000143051147461,1.0001424551010132,5.942510241111681e-07,1.0,3.125e-05
60,1.0002023782699732,1.000201809937787,5.684866496527888e-07,1.0,3.125e-05
61,1.0001762896586375,1.0001757403088223,5.500811648222908e-07,1.0,3.125e-05
62,0.9998351620261077,0.9998346016665173,5.593590766849933e-07,1.0,3.125e-05
63,0.9999845149410758,0.9999840027967076,5.156816189862479e-07,1.0,3.125e-05
64,1.000181427047511,1.0001808723826318,5.536537758700526e-07,1.0,3.125e-05
65,0.9998931915137419,0.9998926630445347,5.358540724405343e-07,1.0,3.125e-05
66,1.0001124523247882,1.0001119504309004,4.993640559289462e-07,1.0,3.125e-05
67,1.0000263706893677,1.0000258672768902,5.010056185571679e-07,1.0,3.125e-05
68,1.0003199960775435,1.0003194994987197,4.967525896132823e-07,1.0,3.125e-05
69,1.0000411609935154,1.000040698582959,4.6096739094484904e-07,1.0,1.5625e-05
70,1.0001350280585561,1.0001346411978362,3.8586236120521975e-07,1.0,1.5625e-05
71,1.0002132217595532,1.000212844769666,3.7625445917569054e-07,1.0,1.5625e-05
72,1.0000156179355209,1.000015237528807,3.770779400091073e-07,1.0,1.5625e-05
73,1.0000839931949688,1.0000836412618115,3.512965805923483e-07,1.0,1.5625e-05
74,1.0002618549735682,1.0002614848173348,3.6718085342217356e-07,1.0,1.5625e-05
75,1.0000789457825339,1.0000786075166836,3.377931215874495e-07,1.0,1.5625e-05
76,1.0000326477797927,1.000032312551122,3.3538403811828965e-07,1.0,1.5625e-05
77,1.0001103494577348,1.0001100115715318,3.333970992217896e-07,1.0,1.5625e-05
78,0.9999750826009519,0.9999747340846213,3.4449344436388915e-07,1.0,1.5625e-05
79,0.9997466673516924,0.9997463032698176,3.588601239070083e-07,1.0,1.5625e-05
80,1.000160255249898,1.0001598949644976,3.578197546555382e-07,1.0,7.8125e-06
81,1.0001668736433527,1.0001665668882382,3.065510401220482e-07,1.0,7.8125e-06
82,1.000314696199575,1.0003143902037555,3.0475835075637526e-07,1.0,7.8125e-06
83,1.0000343539152936,1.000034021723802,3.222569824748073e-07,1.0,7.8125e-06
84,0.9999762390069901,0.9999759106119727,3.246388158606733e-07,1.0,7.8125e-06
85,1.000234765231989,1.000234448985689,3.1416778598028195e-07,1.0,7.8125e-06
86,1.0001713029897896,1.0001709856045473,3.158976333171343e-07,1.0,7.8125e-06
87,1.00020711209364,1.0002068216633644,2.9328425828616614e-07,1.0,7.8125e-06
88,0.9999829082731988,0.9999826151853913,2.960978757299388e-07,1.0,7.8125e-06
89,1.0001507409059318,1.0001504588278995,2.878876063738398e-07,1.0,7.8125e-06
90,0.9999940998994621,0.9999938318683843,2.7612824538710773e-07,1.0,7.8125e-06
91,0.9998531899634441,0.9998529113022385,2.8658873208051036e-07,1.0,3.90625e-06
92,1.000084566082924,1.0000842654021682,3.0178586718074645e-07,1.0,3.90625e-06
93,0.9999457445873576,0.999945475796985,2.755608365523991e-07,1.0,3.90625e-06
94,0.9999678647442228,0.9999676016485615,2.6999505338330227e-07,1.0,3.90625e-06
95,1.0000789662834946,1.0000787195126721,2.469675280643141e-07,1.0,3.90625e-06
96,1.0002016774408378,1.0002014390222587,2.348097504686066e-07,1.0,3.90625e-06
97,1.0001915545220588,1.0001913096494734,2.4435448606356173e-07,1.0,3.90625e-06
98,0.9998788192014026,0.9998785572446836,2.636272465041987e-07,1.0,3.90625e-06
99,1.0001812706327742,1.000181010194645,2.6228599091635864e-07,1.0,3.90625e-06
100,1.0001306294635603,1.000130375479437,2.5505176578517884e-07,1.0,3.90625e-06
