epoch,total_loss,recon_loss,kl_loss,beta,lr
1,1.0287168128475261,1.0287168128475261,0.45612327175535217,0.0,0.001
2,0.9941684098760034,0.977384924129316,0.503504527032755,0.03333333333333333,0.001
3,0.9925000405615303,0.9723840522917973,0.3017398354354178,0.06666666666666667,0.001
4,0.9941326121615756,0.973256658976245,0.2087594997730984,0.1,0.001
5,0.995980793123792,0.975601364472869,0.15284567435455929,0.13333333333333333,0.001
6,0.997639124560508,0.9783561753619249,0.1156976879307419,0.16666666666666666,0.001
7,0.9988102882531038,0.9815037660538011,0.08653261275238293,0.2,0.001
8,0.9995310109132415,0.9838225412520634,0.06732202112484889,0.23333333333333334,0.001
9,1.000092192440276,0.986329508814842,0.051610049073863185,0.26666666666666666,0.001
10,1.0004160814224534,0.9883359723789676,0.040267035697296165,0.3,0.001
11,1.000441107021016,0.9900396526998775,0.03120437412742217,0.3333333333333333,0.001
12,1.000268849597615,0.9911850645283985,0.024773959770419036,0.36666666666666664,0.001
13,1.0008146136429659,0.9929077196273075,0.019767235169649882,0.4,0.001
14,1.0005080851779622,0.993515628538314,0.01613643804600664,0.43333333333333335,0.0005
15,1.0007969137209995,0.9944321380299368,0.013638804304846533,0.4666666666666667,0.0005
16,1.0007080659744845,0.9948551286557678,0.011705866854661589,0.5,0.0005
17,1.0008992917218786,0.9957987912900889,0.00956343957311978,0.5333333333333333,0.0005
18,1.0009214027672058,0.9965387487867076,0.007734091107134417,0.5666666666666667,0.0005
19,1.0009059704792727,0.9975082623730799,0.005662844735820582,0.6,0.0005
20,1.0011812277660248,0.9985462252501469,0.00416052650962808,0.6333333333333333,0.0005
21,1.001028669867546,0.999338323902932,0.002535524870013925,0.6666666666666666,0.0005
22,1.0006989050822652,0.9996347431164638,0.0015202364535812454,0.7,0.0005
23,1.0008244089260223,1.0001582104688997,0.0009084511162701306,0.7333333333333333,0.0005
24,1.0006353335016092,1.0002957126896852,0.00044298479014675423,0.7666666666666667,0.0005
25,1.0004832030861242,1.0003502733388525,0.00016616497650482264,0.8,0.00025
26,1.0004289677947948,1.000368630430501,7.240189685486999e-05,0.8333333333333334,0.00025
27,1.000094189765347,1.0000613643105623,3.78770033931241e-05,0.8666666666666667,0.00025
28,1.0004102337132594,1.0003885099082996,2.413787941150308e-05,0.9,0.00025
29,1.0002731582161728,1.0002575611612599,1.6712963225721873e-05,0.9333333333333333,0.00025
30,1.0001174735415512,1.0001059926239548,1.1877438795358345e-05,0.9666666666666667,0.00025
31,1.0001589803938653,1.0001498589849775,9.119437473965513e-06,1.0,0.00025
32,1.0003192458942438,1.000311794554352,7.452091169143155e-06,1.0,0.00025
33,1.0002138132502318,1.0002079196037001,5.8988764855022995e-06,1.0,0.00025
34,1.0002454955866382,1.0002405597905444,4.93687617957331e-06,1.0,0.00025
